iter	Passed	Remaining
0	2	270
1	5	277
2	8	264
3	10	246
4	12	242
5	15	241
6	18	243
7	21	249
8	24	249
9	27	251
10	30	248
11	33	247
12	36	245
13	39	243
14	42	243
15	46	242
16	49	242
17	53	241
18	56	239
19	59	236
20	62	234
21	65	231
22	68	228
23	71	224
24	73	220
25	76	216
26	78	212
27	81	208
28	83	205
29	86	201
30	88	197
31	91	194
32	93	190
33	96	187
34	99	184
35	101	180
36	104	177
37	107	174
38	109	171
39	112	168
40	114	165
41	116	160
42	118	157
43	121	154
44	123	151
45	126	148
46	128	145
47	131	142
48	134	139
49	136	136
50	139	133
51	141	130
52	144	127
53	146	125
54	148	121
55	151	118
56	153	116
57	156	113
58	158	110
59	161	107
60	164	104
61	166	102
62	169	99
63	172	96
64	174	93
65	177	91
66	179	88
67	182	85
68	184	83
69	188	80
70	191	78
71	194	75
72	196	72
73	199	70
74	202	67
75	205	64
76	208	62
77	210	59
78	213	56
79	215	53
80	218	51
81	220	48
82	223	45
83	226	43
84	228	40
85	231	37
86	233	34
87	236	32
88	239	29
89	241	26
90	244	24
91	247	21
92	249	18
93	252	16
94	254	13
95	257	10
96	259	8
97	262	5
98	264	2
99	267	0
