iter	Passed	Remaining
0	228	228576
1	232	116179
2	239	79638
3	242	60403
4	245	48861
5	248	41215
6	255	36256
7	260	32357
8	267	29492
9	273	27078
10	287	25857
11	292	24073
12	304	23102
13	309	21769
14	317	20826
15	320	19731
16	339	19615
17	347	18938
18	351	18135
19	359	17637
20	375	17502
21	399	17737
22	403	17129
23	407	16570
24	412	16068
25	421	15775
26	426	15352
27	449	15618
28	458	15341
29	472	15270
30	478	14961
31	486	14720
32	490	14374
33	503	14304
34	510	14079
35	517	13859
36	524	13654
37	529	13412
38	537	13251
39	547	13140
40	551	12905
41	555	12659
42	561	12501
43	565	12277
44	568	12066
45	574	11909
46	578	11720
47	581	11534
48	590	11458
49	596	11333
50	602	11215
51	609	11114
52	617	11032
53	621	10887
54	630	10835
55	634	10695
56	638	10562
57	643	10454
58	647	10333
59	652	10222
60	659	10147
61	676	10240
62	680	10124
63	685	10031
64	694	9987
65	697	9877
66	701	9773
67	707	9696
68	711	9604
69	719	9562
70	723	9470
71	727	9381
72	737	9362
73	743	9299
74	755	9315
75	764	9295
76	776	9311
77	786	9294
78	800	9326
79	802	9234
80	805	9143
81	813	9104
82	814	9001
83	817	8915
84	820	8833
85	827	8799
86	832	8736
87	835	8663
88	845	8650
89	848	8583
90	853	8523
91	861	8500
92	864	8434
93	872	8408
94	875	8337
95	878	8273
96	887	8257
97	894	8230
98	909	8275
99	918	8266
100	924	8227
101	936	8248
102	944	8222
103	949	8180
104	953	8128
105	960	8097
106	964	8047
107	969	8011
108	983	8036
109	1060	8581
110	1066	8541
111	1074	8520
112	1079	8474
113	1098	8537
114	1105	8509
115	1110	8464
116	1114	8408
117	1120	8374
118	1125	8332
119	1129	8282
120	1141	8295
121	1144	8236
122	1155	8238
123	1160	8195
124	1171	8198
125	1176	8158
126	1182	8125
127	1189	8102
128	1194	8062
129	1197	8015
130	1201	7972
131	1210	7957
132	1213	7913
133	1217	7869
134	1225	7852
135	1228	7807
136	1233	7769
137	1241	7756
138	1245	7715
139	1249	7673
140	1259	7671
141	1261	7621
142	1265	7584
143	1270	7553
144	1273	7512
145	1278	7475
146	1286	7466
147	1290	7431
148	1300	7428
149	1305	7395
150	1313	7387
151	1318	7355
152	1323	7328
153	1328	7295
154	1332	7263
155	1341	7256
156	1345	7223
157	1348	7185
158	1355	7167
159	1360	7140
160	1362	7099
161	1366	7069
162	1370	7038
163	1373	7001
164	1376	6965
165	1384	6955
166	1387	6921
167	1390	6887
168	1398	6877
169	1404	6855
170	1408	6829
171	1413	6805
172	1417	6775
173	1421	6748
174	1425	6718
175	1427	6684
176	1431	6655
177	1441	6654
178	1445	6629
179	1453	6619
180	1457	6593
181	1460	6565
182	1464	6536
183	1468	6511
184	1478	6515
185	1483	6492
186	1487	6465
187	1494	6455
188	1497	6426
189	1502	6403
190	1511	6402
191	1516	6380
192	1525	6377
193	1531	6362
194	1542	6368
195	1547	6346
196	1557	6350
197	1562	6327
198	1570	6323
199	1575	6303
200	1579	6278
201	1590	6284
202	1599	6280
203	1606	6268
204	1639	6356
205	1653	6373
206	1670	6398
207	1684	6413
208	1690	6397
209	1750	6585
210	1755	6565
211	1768	6574
212	1784	6592
213	1798	6603
214	1846	6741
215	1852	6724
216	1856	6698
217	1859	6671
218	1863	6646
219	1868	6623
220	1871	6597
221	1875	6574
222	1880	6550
223	1884	6529
224	1890	6512
225	1895	6492
226	1899	6469
227	1908	6460
228	1912	6440
229	1917	6418
230	1928	6419
231	1932	6398
232	1940	6386
233	1944	6364
234	1947	6339
235	1955	6330
236	1958	6304
237	1960	6278
238	1963	6252
239	1969	6237
240	1972	6211
241	1975	6186
242	1979	6165
243	1987	6156
244	1991	6135
245	2006	6148
246	2014	6141
247	2018	6121
248	2023	6101
249	2032	6096
250	2036	6077
251	2040	6056
252	2049	6050
253	2071	6083
254	2077	6070
255	2082	6051
256	2087	6035
257	2095	6027
258	2102	6013
259	2111	6008
260	2114	5986
261	2128	5996
262	2133	5977
263	2143	5975
264	2157	5983
265	2162	5966
266	2166	5946
267	2169	5926
268	2174	5907
269	2177	5886
270	2183	5873
271	2186	5851
272	2189	5829
273	2192	5809
274	2200	5800
275	2204	5783
276	2221	5798
277	2232	5797
278	2240	5791
279	2247	5779
280	2257	5777
281	2261	5758
282	2275	5765
283	2280	5750
284	2310	5796
285	2317	5784
286	2324	5773
287	2337	5779
288	2358	5803
289	2370	5803
290	2376	5789
291	2388	5790
292	2393	5776
293	2399	5761
294	2409	5758
295	2414	5741
296	2424	5739
297	2428	5720
298	2442	5725
299	2446	5709
300	2463	5720
301	2481	5735
302	2485	5717
303	2493	5709
304	2496	5689
305	2508	5690
306	2520	5689
307	2525	5674
308	2536	5673
309	2541	5656
310	2544	5636
311	2555	5636
312	2565	5632
313	2571	5617
314	2574	5598
315	2586	5597
316	2603	5609
